#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
  34300      1.73e+00      8.94e-03      8.47e-02    4.2e-04
  34400      9.19e-01      3.24e-04      4.49e-02    4.2e-04
  34500      9.75e-01      6.54e-04      4.76e-02    4.2e-04
  34600      9.61e-01      8.71e-03      4.52e-02    4.2e-04
  34700      1.02e+00      5.11e-04      4.97e-02    4.2e-04
  34800      1.05e+00      1.53e-03      5.14e-02    4.2e-04
  34900      1.16e+00      2.06e-03      5.68e-02    4.2e-04
  35000      1.19e+00      2.32e-03      5.79e-02    4.2e-04
  35100      1.14e+00      5.06e-03      5.54e-02    4.2e-04
  35200      1.06e+00      5.94e-03      5.12e-02    4.2e-04
  35300      1.24e+00      2.05e-04      6.07e-02    4.2e-04
  35400      1.06e+00      5.30e-04      5.20e-02    4.2e-04
  35500      9.05e-01      4.34e-03      4.38e-02    4.2e-04
  35600      9.33e-01      3.53e-03      4.54e-02    4.2e-04
  35700      1.01e+00      5.60e-04      4.93e-02    4.2e-04
  35800      9.76e-01      4.99e-03      4.71e-02    4.2e-04
  35900      8.92e-01      3.56e-03      4.33e-02    4.2e-04
  36000      1.40e+00      3.79e-03      7.02e-02    4.0e-04
  36100      9.16e-01      1.21e-02      4.21e-02    4.0e-04
  36200      9.06e-01      1.14e-03      4.54e-02    4.0e-04
  36300      9.88e-01      4.74e-03      4.90e-02    4.0e-04
  36400      9.80e-01      2.46e-03      4.91e-02    4.0e-04
  36500      1.08e+00      3.28e-03      5.39e-02    4.0e-04
  36600      1.21e+00      1.46e-03      6.06e-02    4.0e-04
  36700      1.18e+00      1.28e-03      5.91e-02    4.0e-04
  36800      1.08e+00      3.32e-03      5.39e-02    4.0e-04
  36900      9.00e-01      6.99e-04      4.51e-02    4.0e-04
  37000      9.16e-01      3.33e-03      4.56e-02    4.0e-04
  37100      1.06e+00      3.54e-04      5.33e-02    4.0e-04
  37200      1.91e+00      6.51e-04      9.55e-02    4.0e-04
  37300      9.71e-01      6.70e-03      4.76e-02    4.0e-04
  37400      1.20e+00      6.20e-04      6.03e-02    4.0e-04
  37500      1.04e+00      2.14e-03      5.20e-02    4.0e-04
  37600      1.93e+00      1.47e-03      9.69e-02    4.0e-04
  37700      1.05e+00      1.58e-02      5.27e-02    4.0e-04
  37800      1.21e+00      7.05e-03      5.99e-02    4.0e-04
  37900      1.27e+00      2.36e-02      5.22e-02    4.0e-04
  38000      8.90e-01      7.11e-03      4.49e-02    3.8e-04
  38100      9.91e-01      3.58e-03      5.06e-02    3.8e-04
  38200      9.70e-01      5.42e-03      4.91e-02    3.8e-04
  38300      9.22e-01      2.37e-03      4.73e-02    3.8e-04
  38400      9.75e-01      1.76e-03      5.01e-02    3.8e-04
  38500      1.18e+00      1.15e-02      5.81e-02    3.8e-04
  38600      1.08e+00      1.73e-04      5.57e-02    3.8e-04
  38700      9.48e-01      2.49e-03      4.86e-02    3.8e-04
  38800      9.60e-01      9.56e-03      4.70e-02    3.8e-04
  38900      9.01e-01      2.75e-04      4.63e-02    3.8e-04
  39000      1.17e+00      1.22e-02      5.70e-02    3.8e-04
  39100      1.47e+00      1.14e-02      7.55e-02    3.8e-04
  39200      9.61e-01      3.81e-04      4.94e-02    3.8e-04
  39300      1.07e+00      2.26e-03      5.50e-02    3.8e-04
  39400      9.85e-01      8.73e-04      5.07e-02    3.8e-04
  39500      2.82e+00      2.69e-02      1.38e-01    3.8e-04
  39600      1.06e+00      1.70e-02      4.76e-02    3.8e-04
  39700      1.12e+00      8.59e-04      5.73e-02    3.8e-04
  39800      1.17e+00      9.55e-04      5.99e-02    3.8e-04
  39900      9.29e-01      1.16e-03      4.77e-02    3.8e-04
  40000      1.05e+00      2.37e-03      5.53e-02    3.6e-04
  40100      8.68e-01      3.90e-03      4.55e-02    3.6e-04
  40200      9.54e-01      3.70e-04      5.03e-02    3.6e-04
  40300      1.01e+00      4.52e-04      5.31e-02    3.6e-04
  40400      9.73e-01      2.22e-04      5.14e-02    3.6e-04
  40500      1.04e+00      1.33e-03      5.49e-02    3.6e-04
  40600      1.09e+00      7.52e-03      5.61e-02    3.6e-04
  40700      9.14e-01      5.14e-04      4.82e-02    3.6e-04
  40800      8.94e-01      1.62e-03      4.71e-02    3.6e-04
  40900      9.22e-01      3.85e-04      4.87e-02    3.6e-04
  41000      9.86e-01      6.67e-04      5.20e-02    3.6e-04
  41100      8.50e-01      1.61e-03      4.48e-02    3.6e-04
  41200      1.04e+00      2.30e-03      5.47e-02    3.6e-04
  41300      8.48e-01      5.22e-03      4.42e-02    3.6e-04
  41400      2.25e+00      1.62e-02      1.18e-01    3.6e-04
  41500      9.05e-01      1.02e-03      4.77e-02    3.6e-04
  41600      1.10e+00      1.60e-03      5.82e-02    3.6e-04
  41700      1.23e+00      1.89e-03      6.51e-02    3.6e-04
  41800      1.35e+00      6.73e-03      7.04e-02    3.6e-04
  41900      8.83e-01      9.89e-05      4.66e-02    3.6e-04
  42000      9.59e-01      4.44e-04      5.19e-02    3.4e-04
  42100      9.14e-01      1.19e-02      4.51e-02    3.4e-04
  42200      8.47e-01      3.54e-03      4.56e-02    3.4e-04
  42300      8.95e-01      1.14e-03      4.84e-02    3.4e-04
  42400      7.99e-01      5.25e-04      4.32e-02    3.4e-04
  42500      1.06e+00      1.24e-03      5.72e-02    3.4e-04
  42600      1.05e+00      3.62e-03      5.62e-02    3.4e-04
  42700      8.27e-01      7.11e-04      4.48e-02    3.4e-04
  42800      1.00e+00      1.07e-03      5.43e-02    3.4e-04
  42900      9.44e-01      1.22e-02      4.66e-02    3.4e-04
  43000      1.02e+00      1.70e-03      5.52e-02    3.4e-04
